question,right_answer,bot_response
Which design center has the most innovations?,"SELECT DepartmentName, COUNT(*) AS InnovationCount FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId GROUP BY DepartmentName ORDER BY InnovationCount DESC LIMIT 1;",SELECT DepartmentName FROM Department WHERE DepartmentId = (SELECT DepartmentId FROM Jidouka GROUP BY DepartmentId ORDER BY COUNT(*) DESC LIMIT 1);
What are the most used tools?,"SELECT Tool.ToolName, COUNT(*) AS UsageCount FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolName ORDER BY UsageCount DESC;","SELECT ToolName, COUNT(*) AS UsageCount FROM Tool GROUP BY ToolName ORDER BY UsageCount DESC;"
List all tools used by innovations in the 'Design Tools' group.,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Design Tools%');,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.GroupDCId = (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%Design Tools%'));
What are the details of innovations created on 2023-01-01?,"SELECT ImprovementName, Description FROM Jidouka WHERE DateCreate LIKE LOWER('%2023-01-01%');",SELECT * FROM Jidouka WHERE DateCreate LIKE LOWER('%2023-01-01%');
List all jobs that apply the innovation 'Automation X'.,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.ImprovementName LIKE LOWER('%Automation X%');,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.ImprovementName LIKE '%Automation X%';
List all improvements made by the design center 'Electronics'.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Electronics%');,SELECT ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE DepartmentName LIKE LOWER('%Electronics%');
Which tools have descriptions containing the keyword 'AI'?,SELECT ToolName FROM Tool WHERE ToolDescription LIKE '%AI%';,SELECT Tool.ToolName FROM Tool WHERE Tool.ToolDescription LIKE '%AI%';
List all tools used for innovations created before 2023-01-01.,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.DateCreate < '2023-01-01';,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaDate < '2023-01-01';
Find all groups associated with the department 'Mechanical'.,SELECT GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Mechanical%');,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Mechanical%');
List all departments involved in innovations that saved more than 200 hours.,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.TotalTimeSaved > 200;,SELECT DISTINCT DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.TotalTimeSaved > 200;
Which innovations are associated with the author named 'John Doe'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%John Doe%');,SELECT ImprovementName FROM Jidouka WHERE AuthorName LIKE LOWER('%John Doe%');
Which innovations have a description containing 'automation'?,SELECT ImprovementName FROM Jidouka WHERE LOWER(Description) LIKE '%automation%';,SELECT ImprovementName FROM Jidouka WHERE Description LIKE '%automation%';
List the innovations that do not have any tools associated with them.,SELECT ImprovementName FROM Jidouka WHERE JidoukaId NOT IN (SELECT JidoukaId FROM JidoukaTool);,SELECT ImprovementName FROM Jidouka WHERE JidoukaId NOT IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE JidoukaTool.ToolId = JidoukaTool.ToolId) AND JidoukaTool.JidoukaId IS NULL;
"Which authors have worked on innovations launched after January 1, 2023?",SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.DateCreate > '2023-01-01';,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.DateCreate > '2023-01-01';
Find the total number of jobs linked to innovations by 'Design Center A'.,SELECT COUNT(DISTINCT Job.JobId) AS TotalJobs FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Design Center A%');,SELECT COUNT(DISTINCT Job.JobId) FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%A%');
Which jobs are linked to innovations with no linked tools?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId NOT IN (SELECT JidoukaId FROM JidoukaTool);,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId NOT IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool WHERE JidoukaTool.ToolId IS NOT NULL);
What are the details of innovations linked to the product 'AutoParts'?,"SELECT Jidouka.ImprovementName, Jidouka.Description, Jidouka.DateCreate FROM Jidouka WHERE Jidouka.ProductApply LIKE LOWER('%AutoParts%');",SELECT Jidouka.* FROM Jidouka WHERE ProductApply LIKE LOWER('%AutoParts%');
Which innovations have no associated videos?,SELECT ImprovementName FROM Jidouka WHERE Video IS NULL OR Video LIKE LOWER('%%');,SELECT ImprovementName FROM Jidouka WHERE Video IS NULL;
Which teams worked on innovations related to 'Machine Parts'?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE LOWER(Jidouka.ProductApply) LIKE '%machine parts%';,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Jidouka.ImprovementName LIKE '%Machine Parts%';
Which innovations were created by authors who have worked on tools with the word 'analysis' in their description?,SELECT DISTINCT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorId IN (SELECT DISTINCT Jidouka.AuthorId FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Tool.ToolDescription) LIKE '%analysis%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Tool.ToolDescription) LIKE '%analysis%';
Find all authors who created innovations related to jobs named 'Optimization'.,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JobId IN (SELECT Job.JobId FROM Job WHERE LOWER(Job.JobName) LIKE '%optimization%');,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JobId IN (SELECT Job.JobId FROM Job WHERE Job.JobName LIKE '%Optimization%');
Which innovations used a tool from the department 'Research Division'?,SELECT DISTINCT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolId IN (SELECT Tool.ToolId FROM Tool JOIN Department ON Tool.ToolId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Research Division%'));,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Research Division%');
Which innovations are linked to both 'Tool A' and 'Tool B'?,SELECT DISTINCT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.JidoukaId IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool WHERE ToolId = (SELECT Tool.ToolId FROM Tool WHERE Tool.ToolName LIKE LOWER('%Tool A%'))) AND Jidouka.JidoukaId IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool WHERE ToolId = (SELECT Tool.ToolId FROM Tool WHERE Tool.ToolName LIKE LOWER('%Tool B%')));,"SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName IN ('Tool A', 'Tool B');"
Which authors worked on innovations linked to the group 'Manufacturing Team'?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.GroupDCId = (SELECT GroupDC.GroupDCId FROM GroupDC WHERE GroupDC.GroupDCName LIKE LOWER('%Manufacturing Team%'));,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Manufacturing Team%');
Which innovations were created in 2022 and are linked to 'Task Management' jobs?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2022 AND Jidouka.JobId IN (SELECT Job.JobId FROM Job WHERE LOWER(Job.JobName) LIKE '%task management%');,SELECT ImprovementName FROM Jidouka WHERE YEAR(DateCreate) = 2022 AND JobId IN (SELECT JobId FROM Job WHERE JobName LIKE LOWER('%Task Management%'));
Find the innovations that were linked to jobs starting with the word 'Design'.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.JobId IN (SELECT Job.JobId FROM Job WHERE Job.JobName LIKE 'Design%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE 'Design';
List the departments that created innovations using tools with 'AI' in their name.,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Tool.ToolName) LIKE '%ai%');,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Tool.ToolName) LIKE '%AI%';
Find the total saved hours for innovations associated with the 'Automation Team'.,SELECT SUM(Jidouka.TotalTimeSaved) AS TotalSavedHours FROM Jidouka WHERE Jidouka.GroupDCId = (SELECT GroupDC.GroupDCId FROM GroupDC WHERE GroupDC.GroupDCName LIKE LOWER('%Automation Team%'));,SELECT SUM(TotalTimeSaved) FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Automation Team%');
Which authors worked on innovations launched in the last 2 years?,"SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.DateCreate >= DATE_SUB(CURDATE(), INTERVAL 2 YEAR);","SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.DateCreate >= DATE_SUB(CURDATE(), INTERVAL 2 YEAR);"
Which tools were used in innovations linked to 'Development' jobs?,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId IN (SELECT Jidouka.JidoukaId FROM Jidouka WHERE Jidouka.JobId IN (SELECT Job.JobId FROM Job WHERE LOWER(Job.JobName) LIKE '%development%'));,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.JobId IN (SELECT Job.JobId FROM Job WHERE Job.JobName LIKE LOWER('%Development%'));
Which groups are linked to innovations created by authors who used 'Tool X'?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Jidouka.AuthorId IN (SELECT Jidouka.AuthorId FROM JidoukaTool JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool X%'));,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool X%');
Find the innovations linked to both 'Automation Team' and 'Research Division'.,SELECT DISTINCT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.GroupDCId = (SELECT GroupDC.GroupDCId FROM GroupDC WHERE GroupDC.GroupDCName LIKE LOWER('%Automation Team%')) AND Jidouka.DepartmentId = (SELECT Department.DepartmentId FROM Department WHERE Department.DepartmentName LIKE LOWER('%Research Division%'));,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE '%Automation Team%' AND GroupDC.GroupDCName LIKE '%Research Division%';
Which innovations were created by 'John Doe'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%John Doe%');,SELECT ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%John Doe%');
"What are the jobs linked to innovations launched after January 1, 2023?",SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DateCreate > '2023-01-01';,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DateCreate > '2023-01-01';
List all innovations created by employees of the 'Engineering Department'.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Engineering Department%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Engineering%');
Find innovations linked to tools described as 'automation software'.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Tool.ToolDescription) LIKE '%automation software%';,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolDescription LIKE '%automation software%';
What innovations saved more than 100 hours?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.TotalTimeSaved > 100;,SELECT ImprovementName FROM Jidouka WHERE TotalTimeSaved > 100;
List all jobs linked to innovations involving the 'Quality Control' team.,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Quality Control%');,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE '%Quality Control%';
Find the innovations linked to the 'AI Toolkit'.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%AI Toolkit%');,SELECT ImprovementName FROM Jidouka WHERE JidoukaTool.ToolId = (SELECT Tool.ToolId FROM Tool WHERE Tool.ToolName LIKE LOWER('%AI Toolkit%'));
Which innovations were created by 'Data Science' authors?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.DepartmentId = (SELECT Department.DepartmentId FROM Department WHERE Department.DepartmentName LIKE LOWER('%Data Science%'));,SELECT ImprovementName FROM Jidouka WHERE AuthorId IN (SELECT AuthorId FROM Author WHERE AuthorName LIKE LOWER('%Data Science%'));
What jobs were linked to innovations launched before 2020?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DateCreate < '2020-01-01';,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DateCreate < '2020-01-01';
Which innovations have saved more than 200 hours?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.TotalTimeSaved > 200;,SELECT ImprovementName FROM Jidouka WHERE TotalTimeSaved > 200;
What jobs are linked to improvements with 'automation' in their description?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE LOWER(Jidouka.Description) LIKE '%automation%';,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE LOWER(Jidouka.Description) LIKE '%automation%';
List all authors who have created more than 5 innovations.,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId GROUP BY Author.AuthorName HAVING COUNT(Jidouka.JidoukaId) > 5;,SELECT AuthorName FROM Author WHERE TotalInnovations > 5;
Which innovations were created by 'Bob Johnson'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Bob Johnson%');,SELECT ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Bob Johnson%');
Which jobs were linked to innovations that saved more than 50 hours?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.TotalTimeSaved > 50;,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.TotalTimeSaved > 50;
List all innovations involving tools described as 'robotic arms'.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Tool.ToolDescription) LIKE '%robotic arm%';,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolDescription LIKE '%robotic arm%';
Find innovations by 'John Doe' that applied to over 10 jobs.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.AuthorId = (SELECT Author.AuthorId FROM Author WHERE Author.AuthorName LIKE LOWER('%John Doe%')) AND Jidouka.TotalJobApplied > 10;,SELECT ImprovementName FROM Jidouka WHERE AuthorId = (SELECT AuthorId FROM Author WHERE AuthorName LIKE LOWER('%John Doe%')) AND TotalJobApplied > 10;
List all jobs that have been applied more than 100 times.,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.TotalJobApplied > 100;,SELECT JobName FROM Job WHERE TotalJobApplied > 100;
Which innovations have a launch date before '2023-01-01'?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.LaunchDate < '2023-01-01';,SELECT ImprovementName FROM Jidouka WHERE DateCreate < '2023-01-01';
List all tools used in innovations by 'Alice Smith'.,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.AuthorId = (SELECT Author.AuthorId FROM Author WHERE Author.AuthorName LIKE LOWER('%Alice Smith%'));,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.AuthorId = (SELECT Author.AuthorId FROM Author WHERE Author.AuthorName LIKE LOWER('%Alice Smith%'));
Which innovations involve the tool 'Laser Cutter'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Tool.ToolName) LIKE LOWER('%laser cutter%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE '%Laser Cutter%';
Find innovations created by authors from the 'Manufacturing' department.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId JOIN Department ON Author.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Manufacturing%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Manufacturing%');
List all innovations that involved more than one tool.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool jt1 ON Jidouka.JidoukaId = jt1.JidoukaId JOIN JidoukaTool jt2 ON jt1.JidoukaId = jt2.JidoukaId WHERE jt1.ToolId <> jt2.ToolId;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId GROUP BY Jidouka.ImprovementName HAVING COUNT(DISTINCT JidoukaTool.ToolId) > 1;
Which innovations are linked to the job 'Assembly'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE LOWER('%Assembly%');,SELECT ImprovementName FROM Jidouka WHERE JobId = (SELECT JobId FROM Job WHERE JobName LIKE LOWER('%Assembly%'));
List all jobs that have no associated innovations.,SELECT Job.JobName FROM Job LEFT JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JobId IS NULL;,SELECT JobName FROM Job WHERE JobId NOT IN (SELECT JobId FROM Jidouka);
