previous_question,previous_answer,schema_linking,question,answer
Which departments were linked to innovations launched in 2022?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE YEAR(Jidouka.DateCreate) = 2022;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.DepartmentId, Jidouka.DateCreate], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [2022]}",Which authors contributed to these innovations?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE YEAR(Jidouka.DateCreate) = 2022;
What is the tool description for 'Tool A'?,SELECT ToolDescription FROM Tool WHERE LOWER(ToolName) LIKE LOWER('%tool a%');,"{Tables: [Tool], Columns: [Tool.ToolDescription, Tool.ToolName], Foreign keys: [], Possible cell values: [Tool A]}",Which innovations used this tool?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Tool.ToolName) LIKE LOWER('%tool a%');
Which job types are associated with innovations?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Job.JobId, Jidouka.JobId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: []}",Which innovations are associated with the job type 'Testing'?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN Job ON Jidouka.JobId = Job.JobId WHERE LOWER(Job.JobName) LIKE LOWER('%testing%');
How many hours were saved by all innovations?,SELECT SUM(TotalTimeSaved) AS TotalHoursSaved FROM Jidouka;,"{Tables: [Jidouka], Columns: [Jidouka.TotalTimeSaved], Foreign keys: [], Possible cell values: []}",What is the average time saved per innovation?,SELECT AVG(TotalTimeSaved) AS AverageHoursSaved FROM Jidouka;
List the design centers involved in improvements.,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Department.DepartmentId, Jidouka.DepartmentId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: []}",Which design center contributed to the most improvements?,"SELECT Department.DepartmentName, COUNT(*) AS ImprovementCount FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId GROUP BY Department.DepartmentName ORDER BY ImprovementCount DESC LIMIT 1;"
What are the main features of tool 'Automation Kit'?,SELECT ToolDescription FROM Tool WHERE LOWER(ToolName) LIKE LOWER('%automation kit%');,"{Tables: [Tool], Columns: [Tool.ToolDescription, Tool.ToolName], Foreign keys: [], Possible cell values: [Automation Kit]}",Which improvements used this tool?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Tool.ToolName) LIKE LOWER('%automation kit%');
What is the total number of innovations?,SELECT COUNT(*) AS TotalInnovations FROM Jidouka;,"{Tables: [Jidouka], Columns: [Jidouka.JidoukaId], Foreign keys: [], Possible cell values: []}",How many were created by the 'Development' department?,SELECT COUNT(*) AS TotalInnovations FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE LOWER(Department.DepartmentName) LIKE LOWER('%development%');
What is the capital of Germany?,The capital of Germany is Berlin.,,What is the capital of Canada?,The capital of Canada is Ottawa.
Which innovations were implemented in 'Team Alpha'?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE LOWER(GroupDC.GroupDCName) LIKE LOWER('%team alpha%');,"{Tables: [Jidouka, GroupDC], Columns: [Jidouka.ImprovementContent, Jidouka.GroupDCId, GroupDC.GroupDCName], Foreign keys: [Jidouka.GroupDCId=GroupDC.GroupDCId], Possible cell values: [Team Alpha]}",Who created these innovations?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE LOWER(GroupDC.GroupDCName) LIKE LOWER('%team alpha%');
How many tools are available in the database?,SELECT COUNT(*) AS TotalTools FROM Tool;,"{Tables: [Tool], Columns: [Tool.ToolId], Foreign keys: [], Possible cell values: []}",What are the names of these tools?,SELECT ToolName FROM Tool;
Which improvements have no tools linked to them?,SELECT Jidouka.ImprovementContent FROM Jidouka WHERE Jidouka.JidoukaId NOT IN (SELECT DISTINCT JidoukaId FROM JidoukaTool);,"{Tables: [Jidouka, JidoukaTool], Columns: [Jidouka.ImprovementContent, Jidouka.JidoukaId, JidoukaTool.JidoukaId], Foreign keys: [], Possible cell values: []}",What is the total time saved by these improvements?,SELECT SUM(TotalTimeSaved) AS TotalTimeSaved FROM Jidouka WHERE Jidouka.JidoukaId NOT IN (SELECT DISTINCT JidoukaId FROM JidoukaTool);
What is the meaning of life?,I am not sure about the exact meaning of life.,,What is the speed of light?,"The speed of light is approximately 299,792 kilometers per second."
Which innovations used more than three tools?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId GROUP BY Jidouka.JidoukaId HAVING COUNT(JidoukaTool.ToolId) > 3;,"{Tables: [Jidouka, JidoukaTool], Columns: [Jidouka.ImprovementContent, Jidouka.JidoukaId, JidoukaTool.ToolId], Foreign keys: [Jidouka.JidoukaId=JidoukaTool.JidoukaId], Possible cell values: []}",What tools were linked to these innovations?,"SELECT Jidouka.ImprovementContent, Tool.ToolName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId GROUP BY Jidouka.JidoukaId HAVING COUNT(JidoukaTool.ToolId) > 3;"
What are the most recent innovations?,"SELECT ImprovementContent, DateCreate FROM Jidouka ORDER BY DateCreate DESC LIMIT 5;","{Tables: [Jidouka], Columns: [Jidouka.ImprovementContent, Jidouka.DateCreate], Foreign keys: [], Possible cell values: []}",Who created these innovations?,"SELECT ImprovementContent, Author.AuthorName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId ORDER BY Jidouka.DateCreate DESC LIMIT 5;"
Which team saved the most hours?,"SELECT GroupDC.GroupDCName, SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId GROUP BY GroupDC.GroupDCName ORDER BY TotalTimeSaved DESC LIMIT 1;","{Tables: [Jidouka, GroupDC], Columns: [Jidouka.TotalTimeSaved, Jidouka.GroupDCId, GroupDC.GroupDCName], Foreign keys: [Jidouka.GroupDCId=GroupDC.GroupDCId], Possible cell values: []}",What are the innovations linked to this team?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId GROUP BY GroupDC.GroupDCName ORDER BY SUM(Jidouka.TotalTimeSaved) DESC LIMIT 1;
What is the size of the Earth?,"The Earth's equatorial diameter is approximately 12,742 kilometers.",,What is the mass of the Earth?,The Earth's mass is approximately 5.97 × 10^24 kilograms.
Which innovations involve both 'Task A' and 'Tool B'?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Jidouka.JobName) LIKE LOWER('%task a%') AND LOWER(Tool.ToolName) LIKE LOWER('%tool b%');,"{Tables: [Jidouka, JidoukaTool, Tool], Columns: [Jidouka.ImprovementContent, Jidouka.JobName, Jidouka.JidoukaId, JidoukaTool.ToolId, JidoukaTool.JidoukaId, Tool.ToolName], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId, Jidouka.JidoukaId=JidoukaTool.JidoukaId], Possible cell values: ['tool A','tool B']}",How much time did these innovations save?,SELECT SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Jidouka.JobName) LIKE LOWER('%task a%') AND LOWER(Tool.ToolName) LIKE LOWER('%tool b%');
Which author worked on the improvement with ID 101?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 101;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [101]}",What department is this author associated with?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 101;
What tools were used in improvement ID 202?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 202;,"{Tables: [Tool, JidoukaTool], Columns: [Tool.ToolName, JidoukaTool.JidoukaId], Foreign keys: [JidoukaTool.JidoukaId=Jidouka.JidoukaId], Possible cell values: [202]}",Which jobs used these tools?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 202;
Who created the innovation with ID 303?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 303;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [303]}",What is the improvement content for this innovation?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 303;
What are the job names associated with improvement ID 404?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 404;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [404]}",What is the description of this improvement?,SELECT Description FROM Jidouka WHERE JidoukaId = 404;
How many jobs applied the improvement with ID 505?,SELECT TotalJobApplied FROM Jidouka WHERE JidoukaId = 505;,"{Tables: [Jidouka], Columns: [Jidouka.TotalJobApplied, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [505]}",What tools were used in this improvement?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 505;
Which employees are associated with the job 'Task B'?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JobName LIKE LOWER('%Task B%');,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JobName], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: ['Task B']}",Which department is responsible for this job?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JobName LIKE LOWER('%Task B%');
Which job applied the most number of improvements?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId ORDER BY Jidouka.TotalJobApplied DESC LIMIT 1;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.TotalJobApplied], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: []}",What is the improvement content for this job?,SELECT ImprovementContent FROM Jidouka WHERE JobId = (SELECT JobId FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId ORDER BY Jidouka.TotalJobApplied DESC LIMIT 1);
Which tool was used in the most innovations?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolId ORDER BY COUNT(JidoukaTool.JidoukaId) DESC LIMIT 1;,"{Tables: [Tool, JidoukaTool], Columns: [Tool.ToolName, JidoukaTool.JidoukaId], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId], Possible cell values: []}",How many innovations used this tool?,SELECT COUNT(JidoukaTool.JidoukaId) FROM JidoukaTool WHERE ToolId = (SELECT ToolId FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolId ORDER BY COUNT(JidoukaTool.JidoukaId) DESC LIMIT 1);
Which group is responsible for innovation ID 606?,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Jidouka.JidoukaId = 606;,"{Tables: [GroupDC, Jidouka], Columns: [GroupDC.GroupDCName, Jidouka.JidoukaId], Foreign keys: [Jidouka.GroupDCId=GroupDC.GroupDCId], Possible cell values: [606]}",What department is this group part of?,SELECT Department.DepartmentName FROM Department JOIN GroupDC ON Department.DepartmentId = GroupDC.DepartmentId WHERE GroupDC.GroupDCId = 606;
How much time was saved by the innovation with ID 707?,SELECT TotalTimeSaved FROM Jidouka WHERE JidoukaId = 707;,"{Tables: [Jidouka], Columns: [Jidouka.TotalTimeSaved, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [707]}",Which jobs were associated with this innovation?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 707;
Which improvements were made by the 'Design Center A'?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Design Center A%');,"{Tables: [Jidouka, Department], Columns: [Jidouka.ImprovementContent, Department.DepartmentName], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: ['Design Center A']}",What jobs are linked to these innovations?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DepartmentId = (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%Design Center A%'));
What is the creation date for innovation ID 808?,SELECT DateCreate FROM Jidouka WHERE JidoukaId = 808;,"{Tables: [Jidouka], Columns: [Jidouka.DateCreate, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [808]}",What is the job associated with this innovation?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 808;
What is the job ID for innovation ID 909?,SELECT JobId FROM Jidouka WHERE JidoukaId = 909;,"{Tables: [Jidouka], Columns: [Jidouka.JobId, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [909]}",Which authors worked on this job?,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JobId = (SELECT JobId FROM Jidouka WHERE JidoukaId = 909);
What is the total time saved by innovation with ID 1010?,SELECT TotalTimeSaved FROM Jidouka WHERE JidoukaId = 1010;,"{Tables: [Jidouka], Columns: [Jidouka.TotalTimeSaved, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [1010]}",What tools were involved in this innovation?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 1010;
Who created the innovation for 'Task C'?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JobName LIKE LOWER('%Task C%');,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JobName], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: ['Task C']}",What is the improvement content of this innovation?,SELECT ImprovementContent FROM Jidouka WHERE JobName LIKE LOWER('%Task C%');
What department worked on innovation ID 1111?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 1111;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.JidoukaId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [1111]}",What is the job associated with this department?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DepartmentId = (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%Design Center B%'));
What is the description of innovation ID 1212?,SELECT Description FROM Jidouka WHERE JidoukaId = 1212;,"{Tables: [Jidouka], Columns: [Jidouka.Description, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [1212]}",What tool was used in this innovation?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 1212;
Which jobs were associated with innovation ID 1313?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 1313;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [1313]}",What department is responsible for these jobs?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 1313;
Who worked on the innovation with ID 1414?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 1414;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [1414]}",What is the improvement content for this innovation?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 1414;
What tools were used for innovation ID 1515?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 1515;,"{Tables: [Tool, JidoukaTool], Columns: [Tool.ToolName, JidoukaTool.JidoukaId], Foreign keys: [JidoukaTool.JidoukaId=Jidouka.JidoukaId], Possible cell values: [1515]}",What is the total time saved by this innovation?,SELECT TotalTimeSaved FROM Jidouka WHERE JidoukaId = 1515;
What jobs applied the improvement with ID 1616?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 1616;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [1616]}",Which department is responsible for this job?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 1616;
Which innovation was created by 'Team X'?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Team X%');,"{Tables: [Jidouka, GroupDC], Columns: [Jidouka.ImprovementContent, GroupDC.GroupDCName], Foreign keys: [Jidouka.GroupDCId=GroupDC.GroupDCId], Possible cell values: ['Team X']}",What jobs were associated with this innovation?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.GroupDCId = (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%Team X%'));
Which department worked on innovation ID 1717?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 1717;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.JidoukaId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [1717]}",What is the job associated with this department?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DepartmentId = (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%Design Center C%'));
Which author created innovation ID 1818?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 1818;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [1818]}",What tools were used in this innovation?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 1818;
Which jobs applied the improvement with ID 1919?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 1919;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [1919]}",Which department is responsible for this improvement?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 1919;
What is the creation date of innovation ID 2020?,SELECT DateCreate FROM Jidouka WHERE JidoukaId = 2020;,"{Tables: [Jidouka], Columns: [Jidouka.DateCreate, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [2020]}",What is the improvement content of this innovation?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 2020;
Which jobs applied the most improvements?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId ORDER BY Jidouka.TotalJobApplied DESC LIMIT 1;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.TotalJobApplied], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: []}",What is the improvement content for this job?,SELECT ImprovementContent FROM Jidouka WHERE JobId = (SELECT JobId FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId ORDER BY Jidouka.TotalJobApplied DESC LIMIT 1);
Which tool is used in the most innovations?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolId ORDER BY COUNT(JidoukaTool.JidoukaId) DESC LIMIT 1;,"{Tables: [Tool, JidoukaTool], Columns: [Tool.ToolName, JidoukaTool.JidoukaId], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId], Possible cell values: []}",How many innovations used this tool?,SELECT COUNT(JidoukaTool.JidoukaId) FROM JidoukaTool WHERE ToolId = (SELECT ToolId FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolId ORDER BY COUNT(JidoukaTool.JidoukaId) DESC LIMIT 1);
